Tai yra tiesa.	That's true.
Dėdė paklausė: "Kiek bus trys plius keturi?"	Uncle asked: "What is three plus four?"
Dievas žino, mes padarėme viską ką galėjome.	God knows we did everything we could.
Gyvūnai bijo ugnies.	Animals are afraid of fire.
Ilgiuosi senų gerų dienų.	I miss the good old days.
Jei aš žinočiau tiesą, aš tau ją pasakyčiau.	If I knew the truth, I would tell you.
Jie jau nebeturi cukraus.	They don't have any sugar any more.
Jie mūsų paklausė, ar mes žinome, kada prasidėjo filmas.	They asked us if we knew when the movie started.
Jie sėdi virtuvėje ir geria arbatą.	They are sitting in the kitchen and drinking tea.
Ji manęs paklausė ar aš būsiu laisva kitą sekmadienį.	She asked me if I would be free next Sunday.
Ji manęs paklausė ar aš būsiu laisvas kitą sekmadienį.	She asked me if I would be free next Sunday.
Ji nekenčia keltis anksti ryte.	She hates getting up early in the morning.
Ji niekada nesimokė mokykloje.	They never studied in school.
Ji norėtų surasti gyvenimo prasmę.	She'd like to find the purpose of life.
Ji nupirko jam šunį.	She bought him a dog.
Ji pažadėjo rašyti man kiekvieną savaitę.	She made a promise to write to me every week.
Ji puolė priešą.	She attacked the enemy.
Ji sėdi virtuvėje ir geria arbatą.	She's sitting in the kitchen and drinking tea.
Jį slepia nuo mūsų tiesą.	She's hiding the truth from us.
Jis nupirko jai šunį.	He bought her a dog.
Jis turi didelias mėlynas akis.	He has large blue eyes.
Jis uždarė duris.	He shut the door.
Kaip tik tuo metu autobusas sustojo.	Just at that time, the bus stopped.
Kam Tomas tai nupirko?	Why did Tom buy that?
Ką veikei šią vasarą?	What did you do this summer?
Kažkas privalo paskubėti ir greitai nuvežti ją į ligoninę.	Somebody has to hurry and quickly drive her to the hospital.
Klara manęs paklausė, kodėl aš taip sunkiai dirbu.	Clara asked me why I worked so hard.
Kodėl tu jau nebeturi automobilio?	Why doesn't he have a car any more?
Kokį alų mėgsti gerti?	What kind of beer do you like to drink?
Kokia prasmė kur nors važiuoti?	What's the point of driving anywhere?
Kokia prasmė rašyti ką nors ant stogo?	What's the point of writing something on the roof?
Kur yra kitas šio siūlo galas?	Where is the other end of this thread?
Laukiau jo stotyje valandą laiko, bet jis nepasirodė.	I waited for him at the station for an hour, but he didn't show up.
Manau, mums derėtų aptarti šią situaciją.	I think we should discuss this situation.
Man nepatinka žmonės kurie lengvai įpyksta.	I don't like people who get angry easily.
Mano brolis mėgsta siaubo filmus.	My brother likes horror movies.
Mano brolis sugadino mano naują kompiuterį.	My brother damaged my new computer.
Mano brolis turi gerą atmintį.	My brother has a good memory.
Mano dantys yra visiškai sveiki ir be jokių problemų.	My teeth are totally healthy and free of problems.
Mano kambaryje yra labai šilta.	It's very warm in my room.
Mano motina nupirko man naują suknelę.	My mother bought me a new dress.
Mano stalas yra senas.	My table is old.
Mano tėtis yra stipresnis už tavo tėtį.	My dad is stronger than your dad.
Mano žmona išprotėjo.	My wife is mad.
Man reikia gero patarimo.	I need some good advice.
Man reikia jūsų patarimo.	I need your advice.
Man reikia tavo patarimo.	I need your advice.
Man skauda pilvą.	My stomach hurts.
Man ypač patinka ši scena.	I like this scene in particular.
Mėnulis sukasi aplink Žeme.	The moon moves around the earth.
Mergaitė geria arbatą.	The girl is drinking tea.
Mes kalbėjomės visą naktį.	We talked the night away.
Mes negalime išgyventi be deguonies.	We can't live without oxygen.
Mes turime labai rimtą problemą.	We have a very serious problem.
Moterys keičia pasaulį.	Women change the world.
Namo viduje buvo malonu ir šilta.	It was nice and warm inside the house.
Nebijok pažinti naujų žmonių.	Don't be scared to meet new people.
Nesu ekspertas.	I'm no expert.
Nesu nė truputį alkana.	I'm not even a little hungry.
Nesvarbu kokią knygą skaitai, skaityk ją atidžiai.	Whatever book you read, read it carefully.
Ne visi iš mūsų buvo patenkinti sistema.	Not all of us were satisfied with the system.
Padėjau motinai išvalyti virtuvę.	I helped my mother clean the kitchen.
Prašau laikykite omeny tą ką aš pasakiau.	Please bear in mind what I said.
Ramiai prieik prie durų.	Walk calmly to the door.
Rugsėjo mėnesį bus lygiai metai, kaip aš ją pažįstu.	By September I will have known her for a whole year.
Ši istorija buvo labai įdomi.	The story was very interesting.
Ši pamoka pasibaigs po dešimties minučių.	This class will be over in ten minutes.
Šis stalas yra sunkus.	This table is heavy.
Šis vanduo yra skanus.	The water is tasty.
Šitas stalas yra baltas.	This table is white.
Šitas yra mano stalas.	This is my table.
Susitikimas pasibaigs rytoj.	The meeting will end tomorrow.
Tai yra arklys.	This is a horse.
Tai yra gera proga viena kitą pažinti.	This is a good opportunity to get to know one another.
Tai yra gera proga vienas kitą pažinti.	This is a good opportunity to get to know one another.
Tai yra labai įdomi knyga.	This is a very interesting book.
Tas katinas tikrai buvo mėlynas.	That cat really was blue.
Tavo ranka yra šalta kaip ledas.	Your hand is as cold as ice.
Tavo vonia yra paruošta.	Your bath is ready.
Ten buvo vos penkiasdešimt žmonių.	There were barely fifty people there.
Tėtis nupirko man kamerą.	Dad bought me a camera.
Tikri vyrai geria arbatą.	Real men drink tea.
Tomas klausė, kur tu buvai.	Tom asked where you were.
Tomas negali kaltinti nieko kito, kaip tik patį save.	Tom can't blame anyone but himself.
Tomas nepasirodė.	Tom didn't appear.
Tomas nežino, kuo skiriasi žvaigždė nuo planetos.	Tom doesn't know the difference between a star and a planet.
Tomas nežino skirtumo tarp žvaigždės ir planetos.	Tom doesn't know the difference between a star and a planet.
Tomas niekada nesakė, kad norėjo išvažiuoti.	Tom never said that he wanted to leave.
Tomas paprašė mano patarimo.	Tom asked for my advice.
Tomas sumokės.	Tom'll pay.
Tu geri arbatą.	You drink tea.
Tuoj pat paruošk savo namų darbus.	Do your homework right away.
Turi gerą atmintį.	You have a good memory.
Užsičiaupk ir klausykis, vaike.	Shut up and listen, kid.
Vienintelis dalykas kuris jai rūpi yra jos vaikų saugumas.	Her only care is the safety of her children.
Viskas daroma rankomis.	Everything is done by hand.
Ar einu teisinga kryptimi?	Am I going in the right direction?
Ar galėčiau gauti puodelį arbatos?	May I have a cup of tea?
Ar galite man parodyti kelią į teatrą?	Could you show me the way to the theatre?
Argi ne keista kad Tomo šiuo metu visdar nėra čia?	Isn't it strange that Tom isn't here by now?
Ar girdėjai naujienas?	Did you hear the news?
Ar Jūs ieškote darbo?	Are you looking for a job?
Ar jūs pažįstate Tomo tėvus?	Do you know Tom's parents?
Ar praradai protą?	Have you lost your reason?
Ar tu ateisi į koncertą su manimi?	Will you come with me to the concert?
Ar tu esi tikras, kad mes negalime pataisyti šios kameros?	Are you sure we can't repair this camera?
Ar tu gavai Tomo žinutę?	Did you get Tom's message?
Ar tu pamiršai savo ginklus automobilyje?	Did you forget your weapons in the car?
Ar tu pažįsti Tomo tėvus?	Do you know Tom's parents?
Ar žinai kokia yra mėgstamiausia Tomo spalva?	Do you know what Tom's favorite color is?
Ar žinai Tomo adresą?	Do you know Tom's address?
Ar žinote Tomo adresą?	Do you know Tom's address?
Aš atidaviau savo ginklus.	I gave my weapons away.
Aš dirbu banke.	I work in a bank.
Aš gyvenu Kaire.	I live in Cairo.
Aš manau kad Tomas norės atsisėsti.	I think Tom is going to want to sit down.
Aš neturiu kardo.	I don't have a sword.
Aš niekada nepamiršiu šios dienos.	I will never forget this day.
Aš norėčiau nuvažiuoti į Londoną.	I'd like to go to London.
Aš pažįstu abi mergaites.	I know both of the girls.
Aš susipažinau su ja Prancūzijoje.	I got acquainted with her in France.
Aš sutinku, bet tik su viena sąlyga.	I accept, but only under one condition.
Aš turiu abejonių.	I have doubts.
Aš turiu spėti į tą traukinį.	I have to catch that train.
Aš žiemą ją sutikau.	I met her in the winter.
Atrodai visai kaip tavo vyresnis brolis.	You look just like your older brother.
Atrodė lyg tu nenorėjai tos knygos.	You didn't seem to want that book.
Dėdė Bobas pakvietė mus vakarienei.	Uncle Bob invited us to have dinner.
Gali atsisėsti ant kėdės.	You may sit down on the chair.
Galite atsisėsti ant kėdės.	You may sit down on the chair.
Ji dirba banke.	She works at a bank.
Jie nusipirko naują automobilį.	They bought a new car.
Jie nusipirko sau cukraus.	They bought themselves some sugar.
Ji gulėjo ant lovos veidu žemyn.	She was lying face down on the bed.
Ji man atnešė puodelį arbatos be cukraus.	She brought me a cup of tea without sugar.
Ji mėgsta vyną.	She likes wine.
Ji neturi brolių.	She has no brothers.
Ji priėmė naujienas ramiai.	She took the news calmly.
Jis atrodo, kaip graikų dievas.	He looks like a Greek god.
Jis atvyko iš mažo miestelio kalnuose.	He came from a tiny mountain town.
Jis dėvi akinius.	He is wearing glasses.
Jis dirba banke.	He works at a bank.
Jis gimė Afrikoje.	He was born in Africa.
Jis grįžo iš Kinijos.	He came back from China.
Jis mano, kad jis yra Visatos centras.	He thinks that he's the centre of the universe.
Jis padėjo pataisyti mano laikrodį.	He helped me fix my watch.
Ji tapo motina kai jai buvo penkiolika metų.	She became a mother when she was fifteen years old.
Ji turi raudonas gėles.	She has red flowers.
Jo pinigai yra banke.	His money is in the bank.
Jos dukra turi labai gražų vardą.	Her daughter has a really pretty name.
Jos kambario sienos yra raudonos.	Her room has red walls.
Jos kambarys turi raudonas sienas.	Her room has red walls.
Jūroje yra salos.	There are islands in the sea.
Katės negali išmokti kalbėti.	Cats can't learn to speak.
Ką tu darytum, jei būtum jo vietoje?	What would you do in his position?
Kodėl Tomo nėra mašinoje?	Why isn't Tom in the car?
Kokias gėles tu mėgsti?	What kind of flowers do you like?
Kokios spalvos automobilį ji sau nusipirko?	What colour is the car which she bought for herself?
Ko norėtum vakarienei?	What would you like for supper?
Kuo esi vyresnis, tuo sunkiau išmokti kalbą.	The older you are, the more difficult it is to learn a language.
Labai mažai žmonių pastebėjo, kad jos nebuvo vakarėlyje.	Few people noticed her absence from the party.
"Laikas mirti, Tomai," pasakė Merė.	"Time to die, Tom" said Mary.
Liūtas yra stiprus.	A lion is strong.
Man atrodo kad traukinys vėluoja.	It seems to me that the train is late.
Man nepatinka vasara.	I don't like summer.
Mano brolis yra du metus vyresnis už mane.	My brother is two years older than I am.
Mano katė išėjo iš namų ir niekada negrįžo.	My cat left the house and never returned.
Mano nuotaika šiandien yra gera.	I'm in a good mood today.
Mano pusbrolis yra už mane truputį vyresnis.	My cousin is a little older than I.
Man reikia tik vienos katės.	I need only one cat.
Merė bijo šunų.	Merry is scared of dogs.
Merė moka gerai šokti.	Mary can dance well.
Merė nuėjo į virtuvę.	Mary went down to the kitchen.
Merė padeda savo mamai.	Mary is helping her mother.
Merė tave myli.	Mary likes you.
Merė yra protinga ir turi gerą humoro jausmą.	Mary is smart and funny.
Mes visi esame toje pačioje situacijoje.	We are all in the same situation.
Milijonas žmonių prarado savo gyvybę karo metu.	A million people lost their live during the war.
Mums pavyko spėti į paskutinį traukinį.	We were able to catch the last train.
Mūsų gatvėje gyvena daug įvairių žmonių.	Many kinds of people live on our street.
Muzika yra jo aistra.	Music is his passion.
Negaliu įsivaizduoti gyvenimo be Tomo.	I can't imagine life without Tom.
Nepamiršk Tomo.	Don't forget Tom.
Niekada nebuvau Europoje.	I've never been to Europe.
Niekada nepamiršiu dienos kada aš jį pirmą kartą sutikau.	I will never forget the day when I first met him.
Noriu kardo!	I want a sword!
Paimk mano akinius.	Take my glasses.
Paprašyk jos duoti mums pinigų.	Ask her to give us some money.
Pergalė yra mažai tikėtina, bet įmanoma.	Victory is unlikely but not impossible.
Pergalė yra mažai tikėtina, bet ne neįmanoma.	Victory is unlikely but not impossible.
Ponios ir ponai, prašome atsisėsti.	Ladies and gentlemen, please sit down.
Prašau atidaryk duris ir įleisk mane.	Open the door and let me in, please.
Prašau atsisėsk ant sofos ir atsipalaiduok.	Please sit on the sofa and relax.
Prašau atsisėsti ant sofos ir atsipalaiduoti.	Please sit on the sofa and relax.
Salos yra jūroje.	There are islands in the sea.
Šiandien vakarienei bus žuvis.	We have fish for dinner today.
Ši muzika visus erzina.	This music's annoying everyone.
Šis klubas turi virš penkiasdešimt narių.	The club has more than fifty members.
Siūlau jums paklausti Tomo.	I suggest you ask Tom.
Su kuria moterimi tu lieki?	Which woman do you stay with?
Susirinkimas baigėsi anksčiau nei visada.	The meeting ended earlier than usual.
Susirinko daug žmonių.	Many people have gathered.
Tai ką jis pasakė neturi nieko bendro su šiuo reikalu.	What he said is irrelevant to the matter.
Tai nebuvo lengvas sprendimas.	It was not an easy decision.
Ta mergaitė yra Merė.	That girl is Mary.
Tas miestas buvo sunaikintas karo metu.	The town was destroyed during the war.
Tas mokinys gyvena tame kambaryje.	That student lives in that room.
Tas vyrukas mane erzina.	That guy annoys me.
Tau teks pagaminti daugiau maisto.	You'll have to cook more food.
Tavo mokinys man paskambino.	Your student called me.
Tiesą sakant, jis yra neteisus.	Frankly speaking, he is wrong.
Tiesą sakant, man nepatinka tavo šukuosena.	Frankly speaking, I don't like your haircut.
Tomas ir Merė atrodo laimingi.	Tom and Mary seem happy.
Tomas ir Merė išėjo į lauką.	Tom and Mary went outside.
Tomas ir Merė išėjo laukan.	Tom and Mary went outside.
Tomas ir Merė kartu gerai atrodo.	Tom and Mary look good together.
Tomas negalėjo išgirsti ką Merė sakė.	Tom couldn't hear what Mary was saying.
Tomas negalėjo suprasti ką Merė sakė.	Tom couldn't understand what Mary was saying.
Tomas negali tikrai pasakyti, kada Merė atvažiuos.	Tom can't say for sure when Mary will arrive.
Tomas nenorėjo kad Merė sužinotų.	Tom didn't want Mary to find out.
Tomas nenorėjo kad Merė žinotų.	Tom didn't want Mary to know.
Tomas nežino, ar Merė stovyklaus kartu su mumis ar ne.	Tom doesn't know if Mary will go camping with us or not.
Tomas nežino koks Merė per žmogus.	Tom doesn't know what kind of person Mary is.
Tomas pamiršo, kur padėjo savo akinius.	Tom forgot where he put his glasses.
Tomas pasikeis.	Tom'll change.
Tomas suprato ką Merė sakė.	Tom understood what Mary was saying.
Tomas susirinko visus savo daiktus.	Tom gathered together all his belongings.
Tomas visada teigia, kad jis teisus, net jeigu mes visi žinome, kad jis klysta.	Tom always insists that he's right even when we all know that he's wrong.
Tomas yra geriausias mokinys mūsų klasėje.	Tom is the best student in our class.
Tomas yra grėsmė.	Tom is a threat.
Tomo elgesys yra nuostabus.	Tom's attitude is excellent.
Tomo tėvas yra policijos pareigūnas.	Tom's father is a police officer.
Tomo žmona jį paliko 2013.	Tom's wife left him in 2013.
Tu nesi Visatos centras, tu žinai.	You're not the center of the universe, you know.
Vieną dieną jis nusižudė.	One day he killed himself.
Visos jos katės sėdi and automobilio stogo.	All her cats are sitting on the roof of the car.
Voras yra negyvas.	The spider is dead.
Yra labai mažai tikėtina kad jis tikrai yra tas pats vyras kurį tu sutikai prieš dešimt metų.	It's very unlikely that he is actually the same man you met ten years ago.
Žinoma. Ar žinai gerą vietelę?	Sure. Do you know a good place?
Žiūrėk ką Merė daro.	Look at what Mary is doing.
Žmonės kalbasi.	People are talking.
Ar čia yra gražių moterų?	Are there beautiful women here?
Ar padarei kažką su savo plaukais?	Did you do something new with your hair?
Ar šiuo metu esi užsiėmusi?	Are you busy at the moment?
Ar tau patinka sniegas?	Do you like snow?
Ar vakar jis mokėsi anglų kalbos?	Did he study English yesterday?
Aš čia truputį užsiėmusi, Tomai.	I'm a little busy here, Tom.
Aš esu patenkinta savo darbu.	I am content with my job.
Aš gavai penkerius metus kalėjime.	I got five years in prison.
Aš girdėjau kad Merė nori skyrybų.	I heard that Mary wants a divorce.
Aš jai papasakojau ką jis darė jos kambaryje.	I told her what he was doing in her room.
Aš norėjau sugrįžti į jūsų kaimą.	I wanted to go back to your village.
Aš norėjau sugrįžti į tavo kaimą.	I wanted to go back to your village.
Aš patekau į vidų per langą.	I came in through the window.
Aš priimu iššūkį.	I accept that challenge.
Aš sumokėjau ne mažiau nei šimtą dolerių už šį rašiklį.	I paid not less than a hundred dollars for this pen.
Aš turiu labai svarbų susitikimą.	I have a very important meeting.
Aš turiu surasti savo rašiklį.	I have to find my pen.
Aš valgau knygą.	I eat a book.
Aš visada ateinu namo prieš šeštą valandą.	I always get home by six o'clock.
Aš žaidžiu su savo sūnumi.	I play with my son.
Bet jus miegojo kaip kūdikis.	But he slept like a baby.
Dėl triukšmo už lango jis negalėjo miegoti.	He couldn't sleep because of the noise outside his window.
Grįšiu po pusvalandžio.	I'll be back in half an hour.
Grįžkime į savo vietas.	Let's go back to our places.
Įdomu, kiek ilgai tęsis ši laida.	I wonder when this program will continue till.
Ieškai savo rakto.	You are looking for your key.
Jai taip ir nebuvo lemta vėl išvysti savo vaikų.	She was never to see her children again.
Jaučiuosi siaubingai dėl savo klaidos.	I feel terrible about my mistake.
Jeigu būtum atėjęs truputį anksčiau, būtum ją sutikęs.	Had you come a little earlier, you could have met her.
Ji atrodė patenkinta savo nauju darbu.	She looked pleased with her new job.
Jie pamiršo užrakinti duris.	They forgot to lock the door.
Jie tikrai miegojo ant grindų.	They really slept on the floor.
Ji labai mėgsta tortą.	She really likes cake.
Ji mirė nuo šoko.	She died of shock.
Ji neturi jokio pareigos jausmo.	She has no sense of duty.
Jis įėjo į mano kambarį be leidimo.	He entered my room without permission.
Jis mirė mūšyje.	He died in battle.
Jis myli gyvūnus.	He loves animals.
Jis nešioja akinius.	He is wearing glasses.
Jis turi dėdę kuris dirba banke.	He's got an uncle who works in a bank.
Jis turi sutaisyti laikrodį.	He has to repair the clock.
Kas nori karšto šokolado?	Who wants some hot chocolate?
Katė sėdi ant kėdės ir žiūri į mėsą kuri guli ant virtuvės stalo.	The cat is sitting on the chair and looking at the meat that's lying on the kitchen table.
Ką tu nupirkai savo vaikinui?	What did you buy for your boyfriend?
Kiek jūs mokate už butą?	How much rent do you pay for the apartment?
Kitą kartą žinosiu geriau.	I'll know better next time.
Kodėl Tomas mums nepadeda?	Why isn't Tom helping us?
Kokias knygas Tomas skaito?	What kind of books does Tom read?
Labai patogu gyventi šalia stoties.	It is a great convenience to live near a station.
Leisk man pasakyti tau priežastis kodėl aš su tavimi nesutinku.	Let me tell you the reasons that I don't agree with you.
Lipti į šį kalną yra pavojinga.	It's dangerous to climb this mountain.
Mano anūkas yra mano sūnaus sūnus.	My grandson is the son of my son.
Mano mama visai jo nepažįsta.	My mum doesn't know him at all.
Mano namo stogas yra raudonas.	The roof of my house is red.
Marija daug skaito.	Mary is a heavy reader.
Marškiniai, kuriuos davei, man puikiai tinka.	The shirt you gave me fit perfectly.
Matėme, kaip ji įėjo į parką.	We saw her enter the park.
Mes čia atvykome šeštą vakar vakare.	We arrived here at six yesterday evening.
Mes gyvename arti stoties.	We live close to the station.
Mokytoja moko.	The teacher teaches.
Mokytojas moko.	The teacher teaches.
Moteris skaito.	The woman is reading.
Moterys įprastai gyvena ilgiau nei vyrai.	Women tend to live longer than men.
Nebijok padaryti klaidos.	Don't be afraid to make a mistake.
Nėra klaidos.	There's no mistake.
Nerimauju, ar man pavyks būti geru tėčiu.	I worry about whether I'll be a good father.
Niekas nenorėjo įžeisti tų vyrų.	No one wanted to insult these men.
Niekas niekada nerado jos katės.	Nobody ever found her cat.
Paimk mano arklį.	Take my horse.
Pamokos prasideda kitą antradienį.	Classes begin next Tuesday.
Panelė Tomas moko mus istorijos.	Miss Thomas teaches us history.
Paprašiau jų sutaisyti mano automobilį.	I asked them to fix my car.
Paskutiniu metu buvau labai užsiėmęs.	I've been very busy lately.
Paskutiniu metu buvau labai užsiėmusi.	I've been very busy lately.
Pasuk į dešinę.	Turn right.
Pasuk į kairę.	Turn left.
Paveikslas kabo ant sienos.	The picture is hanging on the wall.
Policininkas įsakė man sustabdyti automobilį.	A police officer told me to stop the car.
Prašome išvalyti purvinas grindis.	Please clean the dirty floor.
Prašome mums atsiųsti daugiau informacijos.	Please send us more information.
Šiandien ji išmoko kaip sužinoti tikrą tiesą.	Today she learnt how to find out the real truth.
Šie marškiniai yra tokie patys. Jie yra tos pačios spalvos.	These shirts are the same. They are the same colour.
Skirtingai nuo brolio, aš nemoku plaukti.	Unlike my brother, I cannot swim.
Sniegas greitai krenta.	The snow is falling fast.
Sūnau, padėk man sutaisyti savo automobilį.	Son, help me fix my car.
Tai priklauso nuo kultūros.	It's a cultural thing.
Tai vienintelis dalykas apie kurį aš nepagalvojau.	That's the one thing I hadn't thought of.
Tai yra žirgas.	This is a horse.
Ta moteris skaito angliškai.	The woman reads English.
Tas jaunas vyras kurį tu pamatei yra mano brolis.	The young man that you saw is my brother.
Tau negalima lipti į jo automobilį.	You are not allowed to climb into his car.
Tau prireiks rakto.	You will need a key.
Tavo duoti marškiniai man puikiai tinka.	The shirt you gave me fit perfectly.
Tomas dievina knygas.	Tom loves books.
Tomas eina miegoti po vidurnakčio.	Tom goes to bed after midnight.
Tomas negalėjo atsikratyti jausmo kad tuoj atsitiks kažkas blogo.	Tom couldn't shake the feeling that something horrible was about to happen.
Tomas nenorėjo kad Merė mirtų.	Tom didn't want Mary to die.
Tomas nepasitiki policija.	Tom doesn't trust the police.
Tomas prarado kontrolę.	Tom has lost control.
Tomas vis dar yra kalinys.	Tom is still a prisoner.
Tomas yra geras kaimynas.	Tom is a good neighbour.
Tu esi pirmas žmogus kuriam aš tą papasakojau.	You're the first person I told that to.
Tu nebijai vaiduoklių, ar ne?	You aren't afraid of ghosts, are you?
Turime mažiau sniego nei įprastai.	We have less snow than usual.
Tu turi atlikti savo pareigą.	You must perform your duty.
Upė lėtai teka į jūrą.	The river flows slowly to the sea.
Upė ramiai teka.	The river flows calmly.
Upė teka į jūrą.	The river flows into the sea.
Už kurią komandą sergi?	What team do you cheer for?
Vagis įėjo į namus pro šias duris.	The burglar came into the house through this door.
Velniai slepiasi tarp akmenų,	Devils are hiding among the rocks.
Vyras įėjo į kitą kambarį.	The man entered the next room.
Abi pusės pasirašė taikos sutartį.	The two sides signed a peace treaty.
Ana kažką parašė ant lentos.	Ann wrote something on the blackboard.
Ar nematėte mano žmonos?	Have you seen my wife?
Ar turi gėrimus be alkoholio?	Do you have drinks without alcohol?
Ar tu žinai kokioje vietoje jis galėjo paslėpti savo pinigus?	Do you know where he could have hidden his money?
Aš daviau tą užsakymą prieš šešias valandas.	I gave that order six hours ago.
Aš labai mėgstu picą.	I like pizza very much.
Aš mačiau nuostabų paukštį.	I saw a beautiful bird.
Aš mėgstu žiūrėti beisbolą ir futbolą.	Love watching baseball and football.
Aš noriu dirbti kompanijoje.	I want to work in a company.
Aš noriu, kad Tomas žinotų, kad mes jį mylime.	I need Tom to know that we love him.
Aš praradau mano pasą!	I lost my passport!
Aš šiandien pamačiau žvaigždę.	I saw a star today.
"Aš turiu labai mielą vyrą," pasakė Merė.	"I have a very sweet husband," said Mary.
Aš turiu raudoną dviratį.	I have a red bicycle.
Aš turiu seną dviratį.	I have an old bicycle.
Aš žaidžiau futbolą.	I played football.
Atvažiavau iš pat Bostono.	I drove all the way from Boston.
Bet kuri visata, kuri yra pakankamai paprasta kad galima būtų ją suprasti, yra per paprasta sukurti protą kuris galėtų ją suprasti.	Any universe simple enough to be understood is too simple to produce a mind able to understand it.
Beveik visi berniukai moka žaisti beisbolą.	Almost all boys can play baseball.
Beveik visi mokiniai mėgsta anglų kalbą.	Almost all the students like English.
Eikite tiesiai šita gatve.	Go straight on down this street.
Esu gana tikras, kad Tomas supranta prancūziškai.	I'm pretty sure Tom understands French.
Esu pamišęs dėl golfo.	I am crazy about golf.
Filmas yra nuobodus.	The film is boring.
Gyvenimas kaime ne visada būna ramus.	Life in the country is not always tranquil.
Jai skaudėjo visą kūną.	Her whole body hurt.
Jei tu tik žinotum kokioje aš situacijoje.	If you only knew what kind of a situation I am in.
Jie gyveno kaime karo metu.	They lived in the countryside during the war.
Jie šiandien suvalgė per daug salotų.	They've eaten too much salad today.
Ji gyvena kaime.	She lives in the village.
Ji gyveno laimingą gyvenimą.	She lived a happy life.
Ji iš manęs padarė žvaigždę.	She made me a star.
Ji juos veža į mokyklą.	She's driving them to school.
Ji man neleido perskaityti laiško.	She wouldn't allow me to read the letter.
Ji moka tris kalbas.	She can speak three languages.
Ji nelabai mėgsta beisbolą.	She doesn't like baseball very much.
Ji pradingo tamsoje.	She disappeared in the dark.
Jis išgirdo kaip kažkas pasakė jo vardą.	He heard somebody say his name.
Ji skubiai nubėgo į savo kambarį.	She hastily ran to her room.
Jis labai mėgsta beisbolą.	He likes baseball very much.
Jis mėgsta ne tik beisbolą bet ir futbolą.	He likes not only baseball but football.
Jis nebijo mirties.	He isn't afraid of death.
Jis nemoka žaisti golfo.	He doesn't know how to play golf.
Jis nežiūri į knygą.	He's not looking at the book.
Jis sakė kad jam labai skaudėjo galva.	He was saying his head hurt a lot.
Ji tapo gydytoja.	She became a doctor.
Ji turi ilgus plaukus.	She has long hair.
Ji turi labai ilgus plaukus.	She has very long hair.
Ji turi sūnų kuris tapo daktaru.	She has a son, who became a doctor.
Jo dukra nubėgo atgal į savo kambarį.	His daughter ran back to her room.
Jos mokiniai per daug mokosi.	Her students study too much.
Jo sūnus rėkia ant jo.	His son is yelling at him.
Jūs esate inžinierius.	You're an engineer.
Kadangi negavau atsakymo, parašiau jai dar kartą.	Since I didn't receive a reply, I wrote to her again.
Kai aš žiūriu į šią nuotrauką, visada galvoju apie senus laikus.	When I see this picture, I always think of the old days.
Kai kurie žmonės mėgsta beisbolą, kai kurie futbolą.	Some people like baseball, others like soccer.
Kas sudaužė langą? Pasakyk tiesą.	Who broke the window? Tell the truth.
Kas sudaužė šį langą?	Who was this window broken by?
Kas suvalgė visą mūsų maistą?	Who ate all of our food?
Katė išgąsdino mane.	The cat scared me.
Kažkas pavogė mano pasą.	Someone stole my passport.
Kiek laiko ten gyvenai?	How long did you live there?
Kiekvienas berniukas turi dviratį.	Each boy has a bike.
Kieno dviratį norėjai pasiskolinti?	Whose bicycle did you want to borrow?
Kodėl tavo dukra nemėgsta saldainių?	Why does your daughter dislike candies?
Kodėl tavo mokiniai nemoka taip gerai skaityti?	Why don't your students read that well?
Kodėl Tomas yra vis dar populiarus?	Why is Tom still popular?
Ko norėtumėte užsisakyti, ponai?	What do you wish to order, gentlemen?
Kuriuo metu šou pasibaigė?	At what time did the show finish?
Laikas prabėgo.	Time flew.
Man nepatinka gyventi kaime.	I don't like living in the country.
Mano dukra norėtų pavalgyti saldainių.	My daughter would like to eat some candies.
Mano dviratį pavogė.	I had my bicycle stolen.
Mano mokiniai mokosi vairuoti.	My students are learning to drive.
Mano mokiniai visada mokosi.	My students are always studying.
Mano tėvas labai mėgsta picą.	My father likes pizza very much.
Mano tėvas mėgsta picą.	My father loves pizza.
Mano tėvas nupirko man dviratį.	My father bought me a bicycle.
Mano vyras yra niekam tikęs.	My husband is useless.
Man reikia gydytojo!	I need a doctor!
Marija turi ilgus plaukus.	Maria has long hair.
Medis yra žalias.	A tree is green.
Mokiniai mokosi mokykloje.	Students study in school.
Mokiniai nenorėjo nieko sakyti savo tėvams.	The students didn't want to tell anything to their parents.
Mokiniai šiandien neturi eiti į mokyklą.	The students don't have to go to school today.
Mokytojas yra griežtas mums.	Our teacher is stern to us.
Mūsų karvė visai neduoda pieno.	Our cow doesn't give us any milk.
Negavau nuo jos nė laiško.	Not a letter did I receive from her.
Neišeik dabar. Mes ruošiamės valgyti pietus.	Don't go out now. We're about to have lunch.
Neleisk šuniui miegoti mūsų lovoje.	Don't let the dog sleep in our bed.
Nežinojau, kad Tomas kalba prancūziškai.	I didn't know Tom spoke French.
Nueik ir atsistok prie savo automobilio.	Go and stand next to your car.
Nunešk kėdę į savo kambarį.	Take the chair to your room.
Nusipirkau skrybėlę šioje parduotuvėje.	I bought a hat at the store.
Oro uostas yra ganėtinai toli nuo miesto centro.	The airport is quite far from the city centre.
Paimk knygą ir perskaityk ją!	Take a book and read it.
Pasaulis yra pilnas kvailų žmonių.	The world is full of dumb people.
Pasiruošt, dėmesio, marš!	On your marks, get set, go!
