Tai viskas.	That is all.
Aš negaliu dirbti kai tu ten stovi.	I can't work with you standing there.
Aš nesupratau ką tu pasakei.	I didn't understand what you said.
Aš neturiu kur šiąnakt miegoti.	I've nowhere to sleep tonight.
Aš noriu eiti į mokyklą.	I want to go to school.
Aš pamiršau.	I forgot.
Aš pamiršau jam šiandien paskambinti.	I forgot to telephone him today.
Aš pamiršau jo paklausti.	I forgot to ask him.
Aš pamiršau jo vardą	I forget his name.
Aš pažįstu tavo tėvą.	I know your father.
Aš tau parodysiu, kad aš esu teisi.	I'll show you that I am right.
Aš tavęs nematau.	I can't see you.
Aš tiksliai nežinau kada grįšiu.	I don't know exactly when I'll be back.
Aš visiškai prieš šį planą.	I'm dead against the plan.
Čia yra mano širdis.	Here is my heart.
Dabar gali eiti miegoti.	You can go to sleep now.
Dabar galite eiti miegoti.	You can go to sleep now.
Daugiau to nedaryk!	Don't do it again.
Dėkoju tau iš visos širdies.	I thank you with all my heart.
Dievas yra blogas.	God is bad.
Dink iš mano gyvenimo!	Get out of my life!
Duok man savo knygą.	Give me your book.
Eik manęs link.	Walk towards me.
Ei, nedaryk to!	Hey, don't do that!
Geriau vėliau, negu niekada.	Better late than never.
Grįšiu rytoj vakare.	I'll be back tomorrow evening.
Iki kito karto.	Until next time.
Jai reikia daugiau miegoti.	She needs to sleep more.
Jei nori ateiti su mumis, ateik su mumis.	If you want to come with us, come with us.
Jei tau manęs reikės, aš būsiu savo kambaryje.	If you need me, I'll be in my room.
Jie rado vienas kitą.	They found each other.
Ji jau išėjo į mokyklą.	She has already gone to school.
Ji nėra mano sesuo, ji mano žmona.	She is not my sister, she's my wife.
Ji nėra tokia kaip ji buvo prieš dešimt metų.	She is not what she was ten years ago.
Jis davė jai knygą.	He gave her a book.
Jis gyvena virš manęs.	He lives above me.
Jis mano kad tau reikia daugiau miegoti.	He thinks that you need to sleep more.
Jis man rado gerą vietą.	He found me a good place.
Jis mirė prieš dešimt metų.	He died ten years ago.
Jis nėra blogas žmogus.	He's not a bad person.
Jis neturi eiti į mokyklą.	He doesn't have to go to school.
Jis paliko savo žmoną ir vaikus.	He left his wife and children.
Jis turėtų ateiti.	He should come.
Jis virš manęs.	He is above me.
Ji tiksliai žino, ko ji nori.	She knows exactly what she wants.
Ji turi dešimt vaikų.	She has ten children.
Jūs galite ateiti, jei norite.	You can come if you want to.
Kai aš atėjau į mokyklą, ten jau nieko nebuvo.	When I came to the school, there was nobody there anymore.
Kaip ji moka taip greitai kalbėti?	How can she speak that fast?
Ką jis veikia savo kambaryje?	What is he doing in his room?
Kambaryje nieko nėra.	There's no one in the room.
Ką tiksliai tai reiškia?	What exactly does that mean?
Kieno yra šis namas?	Whose house is this?
Kito karto nebus.	There won't be a next time.
Koks skirtumas?	What's the difference?
Koks tai žodis?	What word is this?
Koks tavo telefono numeris?	What's your phone number?
Kuris namas yra jo?	Which house is his?
Kuriuo metu galėtum pas mus rytoj ateiti?	At what time would you be able to come to us tomorrow?
Laikyk savo rankas virš stalo.	Keep your hands above the table.
Mano motina negali ateiti.	My mother can't come.
Man patinka šita mergaitė.	I like this girl.
Man pavyko gauti tą knygą.	I succeeded in getting the book.
Man reikėjo ateiti anksčiau.	I should have come earlier.
Mergaitė eina į mokyklą.	The girl goes to school.
Mes buvome kartu tik tris mėnesius.	We've only been together three months.
Myliu tave iš visos širdies.	I love you with all my heart.
Namai stovi arti vienas prie kito.	The houses stand near to each other.
Nedaryk to dar kartą!	Don't do it again.
Neįtikėtina!	Unbelievable!
Nekenčiu tavęs iš visos širdies.	I hate you with all of my heart.
Ne, niekada ten nebuvau.	No, I've never been there.
Nenoriu į mokyklą.	I don't want to go to school.
Nesupratau.	I don't understand.
Nieko nematau.	I can't see anything.
Noriu pamatyti šį filmą.	I want to see the movie.
Padėk knygą atgal, kur ji buvo.	Place this book back where it was.
Paskubėk grįžti.	Hurry back.
Paskubėk!	Hurry!
Paskubėk.	Hurry up.
Paskubėk, Tomai.	Hurry up, Tom.
Prašau ateiti.	Please come.
Prašau laikyk omeny tą ką aš pasakiau.	Please bear in mind what I said.
Prašom ateiti dar kartą po trijų dienų.	Please come again in three days time.
Šitas žodis yra labai gražus.	This word is really beautiful.
Tai atrodė neįtikėtina.	It seemed unbelievable.
Tai buvo neįtikėtina.	It was unbelievable.
Tai neįtikėtina.	It's unbelievable.
Taip, tai buvo nuostabu. Neįtikėtina!	Yes, that was amazing. Unbelievable!
Tai tikrai yra neįtikėtina.	It really is unbelievable.
Tai yra mano namas.	This is my house.
Taksi laukia lauke.	The taxi is waiting outside.
Tas namas yra labai mažas.	That house is very small.
Tas vyras yra negyvas.	This man is dead.
Tau laikas eiti į mokyklą.	It is about time you went to school.
Tau reikėjo ateiti su mumis.	You should have come with us.
Tiesą sakant, aš jau mačiau tą filmą.	To tell the truth, I've already seen the movie.
Tu esi vienintelė kuris gali man padėti.	You are the only one who can help me.
Tu gali ateiti, jei nori.	You can come if you want to.
Tu neįtikėtina.	You're unbelievable.
Tu nesupranti.	You don't understand.
Turiu eiti miegoti.	I have to go to sleep.
Tu turėtum miegoti.	You should sleep.
Tu turi pakankamai miegoti.	You have to get enough sleep.
Varyk iš čia!	Get the hell out of here!
Varyk man iš kelio!	Get the hell out my way!
Va šito aš ir bijau.	That's what I'm afraid of.
Velnias gali ateiti.	The Devil may come.
Žiūrėk į knygą ant stalo.	Look at the book on the desk.
Ar esate pasiruošę valgyti?	Are you ready to eat?
Ar esi pasiruošęs valgyti?	Are you ready to eat?
Ar galiu palikti žinutę?	Can I leave a message?
Ar girdėjai jo žinutę?	Did you hear his message?
Ar ji mano draugė?	Is she my friend?
Ar mus prisimeni?	Do you remember us?
Ar prisimeni?	Do you remember?
Ar prisimeni mane?	Do you remember me?
Ar tu jį pažįsti?	Do you know him?
Ar tu manai kad tai yra kažkoks žaidimas?	Do you think this is some kind of game?
Ar tu matei mano mamą?	Did you see my mother?
Ar tu myli savo mamą?	Do you love your mother?
Ar tu myli savo šalį?	Do you love your country?
Ar tu pažįsti jo mamą?	Do you know his mum?
Ar turite klausimų?	Do you have any questions?
Ar tu tuo metu buvai mokykloje?	Were you at school at that time?
Aš čia tave išgelbėti.	I'm here to save you.
Aš einu į vidų.	I'm going inside.
Aš esu dėl to kaltas.	I am to blame for it.
Aš esu kaltas.	I am to blame.
Aš esu už tai kaltas.	I am to blame for it.
Aš galiu tik laukti.	I can only wait.
Aš gerai ją pažįstu. Ji mano draugė.	I know her well. She is my friend.
Aš myliu savo mamą.	I love my mum.
Aš nenoriu laukti taip ilgai.	I don't want to wait so long.
Aš nenoriu tiek ilgai laukti.	I don't want to wait that long.
Aš nežinau ar turėsiu laiko tą padaryti.	I don't know if I'll have time to do it.
Aš nežinau kur man reikia žiūrėti.	I don't know where I should look.
Aš sakau "Aš esu Džonas".	I say, “I’m John”.
Aš suprantu kodėl tu nenori ten valgyti.	I can understand why you don't want to eat there.
Aš sutinku.	I agree.
Aš tau duosiu šią knygą.	I will give you this book.
Aš turėčiau būti mokykloje.	I should be at school.
Aš turiu klausimą.	I have a question.
Aš visiškai su jumis sutinku.	I agree with you absolutely.
Atsiprašau, nemanau kad aš galėsiu.	Sorry, I don't think I'm gonna be able to.
Atsiprašau, nemanau kad galėsiu.	I'm sorry, I don't think I'll be able to.
Džonas nežino ką daryti toliau.	John doesn't know what to do next.
Esu beveik įsitikinęs.	I'm almost sure.
Esu laiminga.	I am happy.
Esu laimingas.	I am happy.
Esu laimingas, kad nesu moteris.	I'm happy because I am not a woman.
Gerai. Sutinku.	OK. I agree.
Geri dalykai ateina pas tuos kurie laukia.	Good things come to those who wait.
Jei aš būčiau sveika, aš būčiau laiminga.	If I were healthy, I would be happy.
Jei aš būčiau sveikas, aš būčiau laimingas.	If I were healthy, I would be happy.
Jei tu galėtum ateiti, aš būčiau labai laiminga.	If you could come, I'd be really happy.
Jei tu galėtum ateiti, aš būčiau labai laimingas.	If you could come, I'd be really happy.
Ji buvo mano vienintelė draugė.	She was my only friend.
Jie negalėjo gauti pakankamai maisto.	They could not get enough food.
Ji jam pasakė kad ji buvo laiminga.	She told him that she was happy.
Ji mano geriausia draugė.	He is my best friend.
Ji negalėjo kažką tokio pasakyti.	She can't have said such a thing.
Jis dabar jos ieško mano namuose.	He's now looking for her in my house.
Jis ką tik grįžo namo.	He has come home just now.
Jis negalėjo daryti tą ką norėjo.	He was not able to do what he wanted.
Jis nenori tavęs laukti.	He doesn't want to wait for you.
Jis sėdi prie stalo.	He's sitting at the table.
Ji stovi už sienos.	He's standing behind the wall.
Jis vėl grįžo.	He came back again.
Ji tapo laiminga.	She became happy.
Jo ieško policija.	He's wanted by the police.
Jos kambarys yra labai mažas.	Her room is very small.
Kada nors man paskambink.	Call me sometime.
Kaip laikaisi?	How are you?
Kaip laikaisi, mano brangioji?	How are you, my dear?
Kaip laikaisi, mano brangusis?	How are you, my dear?
Kaip laikaisi, mano mielasis?	How are you, my dear?
Kaip laikaisi, mano mieloji?	How are you, my dear?
Ką jūs čia matote?	What do you see here?
Ką jūs matote?	What do you see?
Kam čia atėjai?	What have you come here for?
Kiek mano dukra turėtų valgyti?	How much should my daughter be eating?
Kiek žmonių tu gerai pažįsti?	How many people do you know well?
Kodėl čia atėjai?	Why did you come here?
Kodėl esi tokia laiminga?	Why are you so happy?
Kodėl esi toks laimingas?	Why are you so happy?
Kodėl jis taip ilgai ten sėdi?	Why is he sitting there for so long?
Kodėl ji turėjo taip ilgai tavęs laukti?	Why did he have to wait for you for so long?
Kokia aš laiminga!	How happy I am!
Kokia nuostabi naktis!	What a wonderful night!
Kokia puiki naktis!	What a wonderful night!
Koks aš laimingas!	How happy I am!
Ko nori valgyti?	What do you want to eat?
Kuo daugiau turime tuo daugiau norime.	The more we have, the more we want.
Kuri knyga tavo?	Which book is yours?
Laba diena.	Good day!
Laba rytas.	Good morning!
Labas, kaip laikaisi?	Hello, how are you doing?
Leiskite man su ja pasikalbėti.	Let me speak to her.
Leiskite žmonėms ramiai gyventi!	Let people live peacefully!
Leisk man eiti vienam.	Let me go alone.
Mano dukra jau grįžo iš mokyklos.	My daughter has already returned from school.
Mano kambarys yra labai mažas.	My room is very small.
Mano knyga turi būti kažkur kambaryje.	My book has to be somewhere in the room.
Mano motina paliko man žinutę.	My mother left me a message.
Man patinka moterys.	I like women.
Mes buvome viena didelė laiminga šeima.	We were one big happy family.
Mes negalime laukti.	We can't wait.
Mes neturime pakankamai laiko.	We don't have enough time.
Mes to norime.	We want it.
Mes visi norime pamatyti filmą.	We are all eager to see the movie.
Ne, aš nemanau kad aš esu kaltas.	No, I don't think that I am to blame.
Negaliu pasakyti, kiek laiko praėjo.	I cannot say how much time passed.
Nei Džonas gali to padaryti, nei aš, nei tu.	John can't do it, nor can I, nor can you.
Neįmanoma sustabdyti laiką.	Time cannot be stopped.
Niekada nebuvau tokia laiminga.	Never have I been so happy.
Niekada nebuvau toks laimingas.	Never have I been so happy.
Papasakok man apie savo žmoną.	Tell me about your wife.
Pasirodė, kad aš buvau teisus.	It turned out that I was right.
Pasitrauk į šalį.	Step aside.
Prašau palaukite pusę valandos.	Please wait half an hour.
Ši knyga yra labai gera.	This book is very good.
Šis kambarys yra mums per mažas.	This room is too small for us.
Šis kambarys yra per didelis.	This room is too big.
Šitas daiktas nėra gyvas.	This thing isn't alive.
Šitas daiktas yra gyvas.	This thing is alive.
Tai buvo išties nuostabi diena.	It was a really beautiful day.
Tai ne mano kaltė.	It's not my fault.
Tai yra knyga apie kurią aš tau sakiau.	This is the book I told you about.
Tai yra knyga.	This is a book.
Tai yra mano knyga.	This is my book.
Tas kambarys nėra labai didelis.	That room is not very large.
Tavo knyga yra ant stalo.	Your book is on the desk.
To mums kol kas pakaks.	This will do us for the present.
Tu būtinai turi ten eiti.	It is necessary for you to go there.
Tu esi kaltas.	You are to blame.
Turite klausimų?	Any questions?
Tu tiesiog turėsi laukti.	You'll just have to wait.
Vieni yra už planą, kiti yra prieš jį.	Some people are for the plan and others are against it.
Visi žinojo.	Everybody knew.
Yra aišku kad tu esi kaltas.	It is plain that you are to blame.
Ana negali rasti darbo.	Ann can't find a job.
Ar prisimeni jo telefono numerį?	Do you remember his telephone number?
Ar tau patinka šis miestas?	How do you like this town?
Ar tu supratai ką jis turėjo omenyje?	Did you understand what he meant?
Ar tu tai žinojai?	Did you know that?
Aš čia ieškau draugų.	I'm searching for friends here.
Aš ieškau gero žodžio.	I'm looking for a good word.
Aš ieškau savo telefono.	I am looking for my phone.
Aš kasdien tai sakau.	I say this every day.
Aš matau ir girdžiu.	I see and hear.
Aš nemanau kad tai yra gera idėja.	I don't think this is a good idea.
Aš nenoriu niekada niekam būti skolingas.	I never want to owe money to anyone.
Aš nesuprantu nė žodžio, ką tu sakai.	I don't understand a word of what you're saying.
Aš nesuprantu šio žodžio.	I don't understand this word.
Aš neturėjau jokių problemų.	I didn't have any problems.
Aš niekada nenoriu kam nors būti skolingas.	I never want to owe money to anyone.
Aš niekada neturėjau merginos.	I've never even had a girlfriend.
Aš padėsiu jums.	I'll assist you.
Aš padėsiu tau.	I'll assist you.
Aš prisimenu ką tu pasakei.	I remember what you said.
Aš tau padėsiu.	I'll help you.
Aš tau padėsiu kiek galiu.	I'll help you as much as I can.
Aš tik tada supratau ką jis turėjo omenyje.	Only then did I realize what he meant.
Aš turiu širdį.	I have a heart.
Dabar jo eilė.	Now it is his turn.
Gali ja pasitikėti.	You can count on her.
Gali juo pasitikėti.	You can count on him.
Gal nori išgerti arbatos?	Would you like to drink some tea?
Ieškau savo telefono.	I am looking for my phone.
Jaučiu kad tau patiks šitas filmas.	I've got a feeling that you're going to like this movie.
Ji myli kitą moterį.	She's in love with another woman.
Ji nežino kur jo ieškoti.	She doesn't know where to look for him.
Jis jau nebe vaikas.	He is no longer a child.
Jis labai panašus į savo tėvą.	He closely resembles his father.
Jis mane skambino.	He has phoned me.
Jis myli kitą moterį.	He's in love with another woman.
Jis yra vyras kuriuo mes galime pasitikėti.	He's a man we can trust.
Jis yra žodžio žmogus, tad gali juo pasitikėti.	He's a man of his word, so you can count on him.
Jos vyras yra kalėjime.	Her husband is in prison.
Kada tu tai radai?	When did you find this?
Kai kurie žmonės mano, kad tai yra bloga idėja.	Some people think it's a bad idea.
Kai kurie žmonės per daug kalba ir per mažai daro.	Some people talk too much and do too little.
Kaip gyveni?	How are you?
Kaip tu radai tą knygą?	How did you find that book?
Ką tu manai jis tuo turėjo omenyje?	What do you think he meant by that?
Kažko trūksta.	Something's missing.
Kieno eilė?	Whose turn is it?
Kokia priežastis?	What's the reason?
Kokia puiki idėja!	What a wonderful idea!
Kuo tu dirbi?	What's your job?
Kur dabar gyveni?	Where are you living now?
Kur tu gyveni, jeigu tu neturi namų?	Where do you live if you have no home?
Kur tu gyveni?	Where do you live?
Labas rytas, mano mielasis šuo.	Good morning, my sweet dog.
Manau, kad tai gera idėja.	I think that's a good idea.
Man buvo per daug gėda pažiūrėti jai į akis.	I was too embarrassed to look her in the eye.
Man karšta.	I'm hot.
Mes negalime pasitikėti tuo ką ji sako.	We can't trust what she says.
Mes rytoj visą dieną būsime namie.	We'll be home all day tomorrow.
Negali juo pasitikėti.	You can't count on him.
Negalima pasitikėti juo.	You can't count on him.
Niekas niekada nėra matęs Dievo.	No one has ever seen God.
Oho, šiandien karšta.	Wow, it's hot today.
Palik mane ramybėje!	Leave me alone!
Palik mano šeimą ramybėje.	Leave my family alone.
Palik tą ten kur radai.	Leave it where you found it.
Pamiršk tai.	Forget it.
Pasaulis prasidėjo be žmogaus ir baigsis be jo.	The world began without man and it shall end without him.
Pažadu tau kad tau padėsiu.	I promise you I'll help you.
Ponas toks-ir-toks šiandien skambino.	Mr So-and-so called today.
Prisimenu pirmą kartą.	I remember the first time.
Rytoj bus karšta.	It will be hot tomorrow.
Šiandien būsime namuose.	We will be at home today.
Šiandien karšta, ar ne?	It's very hot today, isn't it?
Šiandien labai karšta.	It is very hot today.
Šiandien mums paskutinė diena mokykloje.	Today is our last day of school.
Šiandien yra ypač karšta.	It is especially hot today.
Sudie.	Farewell!
Šuo buvo miręs.	The dog was dead.
Šuo buvo negyvas.	The dog was dead.
Sustok prie mokyklos.	Stop next to the school.
Tai mano šuo.	That's my dog.
Tai mano telefonas.	This is my phone.
Tai nėra tai, ką turėjau omenyje.	That isn't what I meant.
Tai nieko nereiškia!	It doesn't mean anything!
Tai nuostabi idėja.	That's a great idea.
Tai šuo.	This is a dog.
Tai yra gera idėja.	That's a good idea.
Tai yra miestas apie kurį aš tau sakiau.	This is the city I told you about.
Tai yra nuostabi idėja.	This is a great idea.
Tai yra puiki idėja.	This is a great idea.
Ta pati sena problema.	The same old problem.
Telefonas vis skambino.	The phone kept ringing.
Tu negali pasitikėti tuo ką ji sako.	You can't trust what she says.
Tu neturi žinoti visko, tu tiesiog turi žinoti kur ieškoti.	You don't need to know everything, you just need to know where to search.
Tu šiandien atrodai kažkaip kitaip.	Somehow, you look different today.
Tu taip greitai kalbi kad aš nesuprantu nė žodžio.	You talk so fast I can't understand a word you say.
Užeik, Tomai.	Come on in, Tom.
Visi eikite lauk.	Everybody leave.
Žinai ką? Pamiršk!	You know what? Forget it!
Žinojau, kad tai bloga idėja.	I knew this was a bad idea.
Žinoma, kad aš tau padėsiu.	Of course I'll help you.
Ar eisi su mumis?	Will you go with us?
Ar galėtum man pasakyti ką tu jame matai?	Would you please tell me what you see in him?
Ar gali ateiti į vakarėlį?	Can you come to the party?
Ar gali man pasakyti kur aš galiu rasti ligoninę?	Can you tell me where I can find a hospital?
Ar išprotėjai?	Have you gone mad?
Ar jis dar miega?	Is he still sleeping?
Ar jūs žinote ką darote?	Do you know what you're doing?
"Ar kada nors čia buvai?" "Ne, dabar pirmas kartas"	"Have you ever been here before?" "No, It's my first time here."
Ar manai, kad Tomas pasikeitė?	Do you think Tom has changed?
Ar tai Tomas padarė?	Was Tom the one who did this?
Ar Tomas mirs?	Is Tom going to die?
Ar Tomas pasakė kam jam reikėjo pinigų?	Did Tom say what he needed the money for?
Ar Tomas žino, kas aš esu?	Does Tom know who I am?
Ar tu ne Tomas?	Aren't you Tom?
Ar tu nori išgirsti ką tas žmogus apie tave pasakė?	Do you want to hear what that person said about you?
Ar žinai iš kur Tomas?	Do you know where Tom is from?
Aš gyvenu čia jau seniai.	I have lived here for a long time.
Aš gyvenu mieste.	I live in a city.
Aš iškart pagalvojau apie tave!	I immediately thought of you!
Aš jam nieko nesakiau.	I haven't told him anything.
Aš jį mėgstu.	I like him.
Aš labai mėgstu savo darbą.	I like my job very much.
Aš mėgstu moteris.	I like women.
Aš nesakiau, kad aš tavęs čia nenoriu.	I didn't say I didn't want you here.
Aš nežinau, ar Tomas čia dar gyvena ar ne.	I don't know whether Tom still lives here or not.
Aš niekada nesakiau, kad bus lengva.	I never said it would be simple.
Aš privalau eiti į mokyklą.	I have to go to school.
Aš privalau tai pamatyti.	I have to see this.
Aš šiandien neturiu ką veikti.	I have nothing to do today.
Aš to nesakiau.	I didn't say that.
Aš turiu teisę pasakyti ką manau.	I have the right to say what I think.
Aš turiu teisę sakyti tą ką galvoju.	I have the right to say what I think.
Atnešk visus savo pinigus.	Bring all your money.
Atrodo kad Tomas žino kelią.	Tom seems to know the way.
Beje, ar tu šiąnakt laisvas?	By the way, are you free tonight?
Bėk taip greitai kaip tik moki.	Run as fast as you can.
Daktare, padėkite man!	Doctor, help me!
Dvi šeimos gyvena tame name.	Two families live in that house.
Ei, ramiau.	Hey, relax.
Esi laisvas eiti namo.	You are free to go home.
Įdomu, kodėl Tomas taip pasakė.	I wonder why Tom said that.
Iš kurios tu šalies?	Which country are you from?
Į tą vietą tau eiti vienam pavojinga.	It is risky for you to go into that area alone.
Jai nereikėjo ateiti.	She didn't need to come.
Jam patinka gyventi toje vietoje.	He likes to live in that place.
Jaučiu jog esu laisvas.	I feel that I am free.
Jaučiu, jog esu laisvas.	I feel that I am free.
Jaučiuosi gyva.	I feel alive.
Jeigu nori bėgti, tada bėk.	If you want to run, then run.
Jie negali jūsų girdėti.	They can't hear you.
Jie negali tavęs girdėti.	They can't hear you.
Jie norėtų būti sveiki.	They'd like to be healthy.
Jie pabėgo iš mokyklos.	They ran away from school.
Ji labai sunkiai dirba.	She works very hard.
Ji man pasakė kad aš turėsiu nuo jo bėgti.	She told me that I'll have to run from him.
Ji paėmė mano ranką.	She took my hand.
Jis miega.	He's asleep.
Jis neturi nė žmonos, nė vaikų, nė draugų.	He has no wife, no children and no friends.
Jis turės ten eiti.	He will have to go there.
Jis turi ten nueiti rytoj.	He must go there tomorrow.
Ji sunkiai dirba.	She works hard.
Jis vis dar darbe.	He's still at work.
Ji turės jo laukti.	She'll have to wait for him.
Jos vyras tuoj mirs.	Her husband is about to die.
Jūs negalite daugiau taip gyventi.	You can't live like that anymore.
Kada tu eisi į mokyklą?	When will you go to school?
Kai ji grįš, manęs jau čia nebus.	I will be gone by the time she comes back.
Kaip Tomas gali tai padaryti?	How can Tom do this?
Ką ji apie save galvoja?	What does she think of herself?
Kas nors padėkite man, prašau.	Someone, please help me.
Kas skambina?	Who's calling?
Ką tu jame matai?	What do you see in him?
"Ką tu pasakei?" "Aš nieko nesakiau."	"What did you say?" "I didn't say anything."
Kodėl Tomas negali čia pasilikti?	Why can't Tom stay here?
Ko Tomas iš manęs nori?	What does Tom want from me?
Labai tą mėgstu.	I like it very much.
Leisk man pasakyti vieną dalyką.	Let me say one thing.
Man atrodo kažkas man skambina.	Someone seems to be calling me.
Man nesvarbu ką kiti apie mane galvoja.	I'm not interested in what others think about me.
Mano klaida.	My mistake.
Mano namuose yra labai šalta.	It's very cold in my house.
Mes turime veikti dabar.	We have to act now.
Nebijok.	Don't be afraid.
Nebūk bloga.	Don't be evil.
Nebūk blogas.	Don't be evil.
Nebūk kvailas.	Don't be stupid.
Nebūk per daug įsitikinęs.	Don't be too sure.
Nedaug žmonių taip galvoja.	Few people think so.
Negaliu galvoti apie viską.	I can't think of everything.
Neliesk manęs!	Don't touch me!
Padėkite man!	Help me!
Palauk, tai gali būti pavojinga.	Wait, it could be dangerous.
Prašau duok man žinoti kai juos gausi.	Please let me know when you receive them.
Privalai atlikti darbą, net jei tau jis nepatinka.	You must do the work, even if you do not like it.
Rytoj jis bus laisvas.	He will be free tomorrow.
Šiame name gyvena daug žmonių.	There are many people living in this house.
Šiandien nėra ką veikti.	There is nothing to do today.
Šiandien Tomas atrodo kitaip.	Tom seems different today.
Šį filmą verta pamatyti.	This movie is worth watching.
Šį filmą verta pažiūrėti.	This movie is worth watching.
Šiuo metu Tomas nėra kalėjime.	Tom isn't currently in prison.
Štai ką aš noriu išgirsti.	That's what I want to hear.
Štai tas berniukas, kuris padėjo man.	This is the boy who helped me.
Šuo miršta.	The dog is dying.
Tai gali būti pavojinga.	That may be dangerous.
Tai nėra klaida.	This is not an error.
Tai pavojinga!	It's dangerous!
Tai Tomas dėl visko kaltas.	It's all Tom's fault.
Tai yra labai pavojinga sistema.	It's a very dangerous system.
Tai yra tai, ką aš noriu išgirsti.	That's what I want to hear.
Tame nėra nieko blogo.	There is nothing wrong with this.
Tau reikėjo nueiti su mumis.	You should have come with us.
Tomas apie tave sakė tą patį.	Tom said the same thing about you.
Tomas atrodo kaip moteris.	Tom looks like a woman.
Tomas atvyko paskutinis.	Tom arrived last.
Tomas bus pasiruošęs.	Tom will be ready.
Tomas buvo kietas.	Tom was tough.
Tomas buvo mano pirmas vaikinas.	Tom was my first boyfriend.
Tomas dabar turi eiti namo.	Tom has to go home now.
Tomas dabar yra kalėjime.	Tom is now in prison.
Tomas galiausiai rado darbą kuris jam patiko.	Tom eventually found a job that he liked.
Tomas galvoja, kad gali išgelbėti pasaulį.	Tom thinks he can save the world.
Tomas - gražus vyras.	Tom is a handsome man.
Tomas greitai mirs.	Tom will die soon.
Tomas gyvena kažkur čia.	Tom lives somewhere around here.
Tomas miega savo kambaryje.	Tom is asleep in his room.
Tomas negalėjo padaryti to vienas.	Tom couldn't have done it alone.
Tomas nenori išeiti.	Tom doesn't want to leave.
Tomas nenori niekada to daryti dar kartą.	Tom doesn't want to ever do that again.
Tomas nenori niekada to daryti ir vėl.	Tom doesn't want to ever do that again.
Tomas nenori taip gyventi.	Tom doesn't want to live like that.
Tomas nėra tikras.	Tom is unsure.
Tomas ne tas, kuo dedasi.	Tom isn't who he says he is.
Tomas neturi eiti jeigu jis nenori.	Tom doesn't have to go if he doesn't want to.
Tomas neturi šiandien eiti į mokyklą.	Tom doesn't have to go to school today.
Tomas niekada nenori nieko laukti.	Tom doesn't want to wait for anything.
Tomas nori matyti tave kaip galima anksčiau.	Tom wants to see you as soon as possible.
Tomas per daug žino.	Tom knows too much.
Tomas pradėjo ieškoti naujo darbo.	Tom has started looking for a new job.
Tomas šiuo metu nėra kalėjime.	Tom is not in prison at the moment.
Tomas tikriausiai buvo teisus.	Tom was probably right.
Tomas tikriausiai yra teisus.	Tom is probably right.
Tomas turėjo tuo metu būti namie.	Tom must have been at home at that time.
Tomas turės eiti toliau.	Tom will need to go further.
Tomas vis dar yra kalėjime.	Tom is still in prison.
Tomas yra kalėjime.	Tom is in prison.
Tomas yra mūsų komandos kapitonas.	Tom is the captain of our team.
Tomas yra puikus.	Tom is excellent.
Tomas žino, kad jis yra teisus.	Tom knows he's right.
Tu eisi į mokyklą.	You will go to school.
Tu gali viską girdėti.	You can hear everything.
Tu nežinai kaip stipriai aš tave myliu.	You don't know how much I love you.
Tu privalai eiti į ligoninę.	You have to go to the hospital.
Turėtum ramiau elgtis.	You should act more calmly.
Tu sunkiai dirbi.	You work hard.
Vaikai miega.	The kids are asleep.
Visada yra kitas kartas.	There's always a next time.
Visi miršta.	Everyone dies.
Ar galiu tavęs paklausti tavo vardo?	May I ask your name?
Ar gavai laišką?	Did you receive the letter?
Ar gavai mano laišką?	Did you receive my letter?
Ar jums tikrai reikalingas dar vienas šuo?	Do you really need one more dog?
Ar nemanai?	Don't you think so?
Ar tu matei mano brolį?	Did you see my brother?
Ar yra koks nors pavojus?	Is there any danger?
Aš buvau jaunas ir aš norėjau gyventi.	I was young, and I wanted to live.
Aš gerai pažįstu jo brolį.	I know his brother well.
Aš kalbėjau su draugais.	I talked to friends.
Aš negaliu prisiminti.	I can't remember.
Aš nenorėjau jo pagalbos, bet turėjau ją priimti.	I didn't want his help, but I had to accept it.
Aš nesu tikra ar šis daiktas yra ko nors vertas.	I am uncertain whether this is a thing of value.
Aš net negaliu prisiminti, kuo jis buvo vardu.	I can't even remember what his name was.
Aš norėčiau papasakoti apie savo meilę.	I want to speak about my love.
Aš pasirengęs mirti.	I am ready to die.
Aš per jaunas mirti!	I'm too young to die!
Aš turėjau sunkiai dirbti kai aš buvau jaunas.	I had to work hard when I was young.
Aš turiu vieną brolį.	I have one brother.
Atvykau vėliau nei paprastai.	I arrived later than usual.
Bijau, kad jam nepavyks.	I am afraid he will fail.
Dauguma jo draugų yra mergaitės.	Most of his friends are girls.
Dauguma jo draugų yra merginos.	Most of his friends are girls.
Gal ji tikrai neturi savo kambario?	Maybe she really doesn't have a room of her own?
Gal tu žinai kur yra mano knygos?	Maybe you know where my books are?
Gavai mano laišką?	Did you receive my letter?
Išeik.	Get out.
Jam teks apie tave pamiršti.	He'll have to forget about you.
Ją visi mėgsta.	Everyone likes her.
Ji bėga iš namų.	She's running from home.
Ji beveik neturėjo pinigų.	She was nearly without any money.
Ji dirbo nuo ryto iki vakaro.	She worked from morning till night.
Jie neturėjo pakankamai aukso.	They did not have enough gold.
Ji - mano pirmoji meilė.	He's my first love.
Jis artėja.	He's coming closer.
Jis bėga.	He runs.
Jis jaunas, bet labai protingas.	He's young, but he's very intelligent.
