Nãmas sù žaliù stógu ỹra màno.	Namas su žaliu stogu yra mano.	The house whose roof is green is mine.	stogu	3	stogas	Ncmsin-
Pabandýk supjáustyti mė̃są sù kitù peiliù.	Pabandyk supjaustyti mėsą su kitu peiliu.	Try to slice the meat with a different knife.	peiliu	5	peilis	Ncmsin-
Šìs bañdymas baĩgėsi nẽsėkme.	Šis bandymas baigėsi nesėkme.	This attempt resulted in failure.	nesėkme	3	nesėkmė	Ncfsin-
Sù šiuõ teleskopù gãlima pamatýti žvaigždès ir̃ svajonès.	Su šiuo teleskopu galima pamatyti žvaigždes ir svajones.	With this telescope stars and dreams can be seen.	teleskopu	2	teleskopas	Ncmsin-
Vìsos mū́sų pãstangos baĩgėsi nẽsėkme.	Visos mūsų pastangos baigėsi nesėkme.	All our effort ended in failure.	nesėkme	4	nesėkmė	Ncfsin-
Ar̃ Jū̃s mókate rašýti spáusdinimo mašinėlè?	Ar Jūs mokate rašyti spausdinimo mašinėle?	Are you able to type?	mašinėle	5	mašinėlė	Ncfsin-
Ar̃ užsiiminė́ji kókiu nórs spòrtu?	Ar užsiiminėji kokiu nors sportu?	Do you do any sport?	nors	3	sportas	Ncmsin-
Àš nebègeriu píeno sù cùkrumi.	Aš nebegeriu pieno su cukrumi.	I don't drink milk with sugar any more.	cukrumi	4	cukrus	Ncmsin-
Jiẽ norė́jo pasidarýti vestùvinę núotrauką sù Eĩfelio bókštu fonè.	Jie norėjo pasidaryti vestuvinę nuotrauką su Eifelio bokštu fone.	They wanted a wedding picture in front of the Eiffel Tower.	bokštu	7	bokštas	Ncmsin-
Jungtìnėse Valstìjose manè dažnaĩ palaĩko kinù.	Jungtinėse Valstijose mane dažnai palaiko kinu.	In the U.S., they often mistake me for a Chinese person.	kinu	5	kinas	Ncmsin-
Kàs šiuõ metù vỹksta Lénkijoje?	Kas šiuo metu vyksta Lenkijoje?	What's happening now in Poland?	metu	2	metas	Ncmsin-
Kíek pinigų̃ tù tùri paslė̃pęs põ sàvo lóva?	Kiek pinigų tu turi paslėpęs po savo lova?	How much money do you have hidden under your bed?	lova	7	lova	Ncfsin-
Nè kiekvíenas gãli būtì mẽnininku.	Ne kiekvienas gali būti menininku.	Not everybody can be an artist.	menininku	4	menininkas	Ncmsin-
Àš visadà norė́jau taptì profesionaliù krepšìnio žaidė́ju.	Aš visada norėjau tapti profesionaliu krepšinio žaidėju.	I've always wanted to be a professional basketball player.	žaidėju	6	žaidėjas	Ncmsin-
Jìs daugiaũ nebepasìtiki dãktaru.	Jis daugiau nebepasitiki daktaru.	He doesn't trust the doctor any more.	daktaru	3	daktaras	Ncmsin-
Jìs pripìldė bùtelį vandeniù.	Jis pripildė butelį vandeniu.	He filled the bottle with water.	vandeniu	3	vanduo	Ncmsin-
Nesikéik ar̃ àš išpláusiu tàvo bùrną sù muilù.	Nesikeik ar aš išplausiu tavo burną su muilu.	Don't curse or I'll wash your mouth out with soap.	muilu	7	muilas	Ncmsin-
Niekadà nelýgink sàvo žmonõs sù kità móterimi.	Niekada nelygink savo žmonos su kita moterimi.	Never compare your wife to another woman.	moterimi	6	moteris	Ncfsin-
Tòmas ir̃ Mèrė nusipir̃ko nãmą sù baseinù.	Tomas ir Merė nusipirko namą su baseinu.	Tom and Mary bought a home with a pool.	baseinu	6	baseinas	Ncmsin-
Tòmas ỹra kvalifikúotas būtì širdiẽs chirùrgu.	Tomas yra kvalifikuotas būti širdies chirurgu.	Tom is qualified to be a heart surgeon.	chirurgu	5	chirurgas	Ncmsin-
Àš vìs dár turiù atsikratýti šiuõ kilimù.	Aš vis dar turiu atsikratyti šiuo kilimu.	I still have to get rid of this carpet.	kilimu	6	kilimas	Ncmsin-
Bóbas tuõ metù plóvė indùs.	Bobas tuo metu plovė indus.	Bob was washing the dishes at that time.	metu	2	metas	Ncmsin-
Kuriuõ metù taksì nuvažiuõs į̃ óro úostą?	Kuriuo metu taksi nuvažiuos į oro uostą?	At what time will the taxi go to the airport?	metu	1	metas	Ncmsin-
Prašaũ sujungtì manè sù ponù Smitù.	Prašau sujungti mane su ponu Smitu.	Will you please connect me with Mr. Smith?	ponu	4	ponas	Ncmsin-
Prašaũ sujungtì manè sù ponù Smitù.	Prašau sujungti mane su ponu Smitu.	Will you please connect me with Mr. Smith?	Smitu	5	Smitas	Npmsins
Rašýk pieštukù.	Rašyk pieštuku.	Write it in pencil.	pieštuku	1	pieštukas	Ncmsin-
Šìs kálnas ỹra pàdengtas sniegù visùs metùs.	Šis kalnas yra padengtas sniegu visus metus.	This mountain is snow-covered the entire year.	sniegu	4	sniegas	Ncmsin-
Tiesióg buvaĩ blogojè viẽtoje, blogù metù.	Tiesiog buvai blogoje vietoje, blogu metu.	You were just in the wrong place at the wrong time.	metu	6	metas	Ncmsin-
Visà šalìs bùvo paláidota põ sniegù.	Visa šalis buvo palaidota po sniegu.	The whole country was buried under snow.	sniegu	5	sniegas	Ncmsin-
Výras užpúolė ją̃ sù ketìnimu ją̃ nužudýti.	Vyras užpuolė ją su ketinimu ją nužudyti.	The man attacked her with the intention of killing her.	ketinimu	4	ketinimas	Ncmsin-
Eĩkite šià gatvè tiẽsiai ir̃ priẽ trẽčio šviesofòro pasùkite į̃ dẽšinę.	Eikite šia gatve tiesiai ir prie trečio šviesoforo pasukite į dešinę.	Go straight down this street and turn right at the third light.	gatve	2	gatvė	Ncfsin-
Gaĩla, jóg nesìelgiau sù mergáite kíek gražiaũ.	Gaila, jog nesielgiau su mergaite kiek gražiau.	I wish I had treated the girl more kindly.	mergaite	5	mergaitė	Ncfsin-
Geràs gyvẽnimas ỹra tàs, kurìs į̃kvėptas méile ir̃ val̃domas žiniomìs.	Geras gyvenimas yra tas, kuris įkvėptas meile ir valdomas žiniomis.	The good life is one inspired by love and guided by knowledge.	meile	7	meilė	Ncfsin-
Griñdys ỹra pàdengtos stóru kilimù.	Grindys yra padengtos storu kilimu.	The floor is covered with a thick carpet.	kilimu	4	kilimas	Ncmsin-
Jìs labaĩ didžiúojasi sàvo žaislù.	Jis labai didžiuojasi savo žaislu.	He is very proud of his toy.	žaislu	4	žaislas	Ncmsin-
Jìs žùvo kãrio mirtimì kovojè ùž demokrãtiją.	Jis žuvo kario mirtimi kovoje už demokratiją.	He died a soldier's death in the battle in the cause of democracy.	mirtimi	3	mirtis	Ncfsin-
Kadà bùs kità ekskùrsija sù gidù?	Kada bus kita ekskursija su gidu?	When is the next guided tour?	gidu	5	gidas	Ncmsin-
Kiekvíenas tùri būtì sàvo likìmo kálviu.	Kiekvienas turi būti savo likimo kalviu.	Everyone ought to be a master of his own destiny.	kalviu	5	kalvis	Ncmsin-
Nežaĩskite sù ugnimì.	Nežaiskite su ugnimi.	Don't play with fire.	ugnimi	2	ugnis	Ncfsin-
Põ jõs automobiliù slẽpiasi dù katinaĩ.	Po jos automobiliu slepiasi du katinai.	There are two cats hiding under her car.	automobiliu	2	automobilis	Ncmsin-
Tòmas protestãvo priẽš taĩ, kàd sù juõ bùvo el̃giamasi kaĩp sù vaikù.	Tomas protestavo prieš tai, kad su juo buvo elgiamasi kaip su vaiku.	Tom objected to being treated like a child.	su	11	vaikas	Ncmsin-
Visì žmónės gìmsta laisvì ir̃ lýgūs sàvo orumù ir̃ téisėmis. Jíems sùteiktas prõtas ir̃ są́žinė ir̃ jiẽ tùri el̃gtis víenas kìto ãtžvilgiu kaĩp bróliai.	Visi žmonės gimsta laisvi ir lygūs savo orumu ir teisėmis. Jiems suteiktas protas ir sąžinė ir jie turi elgtis vienas kito atžvilgiu kaip broliai.	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.	orumu	7	orumas	Ncmsin-
Visì žmónės gìmsta laisvì ir̃ lýgūs sàvo orumù ir̃ téisėmis. Jíems sùteiktas prõtas ir̃ są́žinė ir̃ jiẽ tùri el̃gtis víenas kìto ãtžvilgiu kaĩp bróliai.	Visi žmonės gimsta laisvi ir lygūs savo orumu ir teisėmis. Jiems suteiktas protas ir sąžinė ir jie turi elgtis vienas kito atžvilgiu kaip broliai.	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.	atžvilgiu	22	atžvilgis	Ncmsin-
Ar̃ nusìprausei põ dušù?	Ar nusiprausei po dušu?	Have you showered?	dušu	3	dušas	Ncmsin-
Blondìnė kal̃ba sù sàvo psichiatrù.	Blondinė kalba su savo psichiatru.	A blonde is speaking to her psychiatrist.	psichiatru	4	psichiatras	Ncmsin-
Išsipláuk rankàs muilù.	Išsiplauk rankas muilu.	Wash your hands with soap.	muilu	2	muilas	Ncmsin-
Kàs tìk gãli pakryptì blõga linkmè taĩp ir̃ pakrỹps.	Kas tik gali pakrypti bloga linkme taip ir pakryps.	Whatever can go wrong will go wrong.	linkme	5	linkmė	Ncfsin-
Pažiūrė́k į̃ tą̃ kálną pàdengtą sniegù.	Pažiūrėk į tą kalną padengtą sniegu.	Look at that mountain which is covered with snow.	sniegu	5	sniegas	Ncmsin-
Priẽ màno bãto pãdo prilìpo kram̃tomoji gumà.	Prie mano bato pado prilipo kramtomoji guma.	Gum got stuck to the bottom of my shoe.	guma	6	guma	Ncfsin-
Vãkar susipykaũ sù sàvo vyresniù bróliu.	Vakar susipykau su savo vyresniu broliu.	I quarrelled with my older brother yesterday.	broliu	5	brolis	Ncmsin-
Ar̃ galiù naudótis tàvo žodýnu?	Ar galiu naudotis tavo žodynu?	Can I use your dictionary?	žodynu	4	žodynas	Ncmsin-
Ar̃ galiù pasinaudóti tàvo žodýnu?	Ar galiu pasinaudoti tavo žodynu?	Can I use your dictionary?	žodynu	4	žodynas	Ncmsin-
Àš buvaũ liùdytoja.	Aš buvau liudytoja.	I was a witness.	liudytoja	2	liudytoja	Ncfsin-
Àš susidraugavaũ sù mókiniu ìš ùžsienio.	Aš susidraugavau su mokiniu iš užsienio.	I made friends with a student from abroad.	mokiniu	3	mokinys	Ncmsin-
Àš susidraugavaũ sù studentù ìš ùžsienio.	Aš susidraugavau su studentu iš užsienio.	I made friends with a student from abroad.	studentu	3	studentas	Ncmsin-
Gãli naudótis màno žodýnu.	Gali naudotis mano žodynu.	You can use my dictionary.	žodynu	3	žodynas	Ncmsin-
Jìs tãpo pianistù.	Jis tapo pianistu.	He became a pianist.	pianistu	2	pianistas	Ncmsin-
Kažkàs ỹra nè taĩp sù šiuõ jogùrtu.	Kažkas yra ne taip su šiuo jogurtu.	There's something wrong with this yoghurt.	jogurtu	6	jogurtas	Ncmsin-
Mẽs ją̃ išriñkome sàvo komándos kapitonè.	Mes ją išrinkome savo komandos kapitone.	We elected her captain of our team.	kapitone	5	kapitonė	Ncfsin-
Mẽs tùrime išmoktì gyvénti harmònijoje sù gamtà.	Mes turime išmokti gyventi harmonijoje su gamta.	We must learn to live in harmony with nature.	gamta	6	gamta	Ncfsin-
Žaidžiù žaidìmą sù sàvo sẽseria.	Žaidžiu žaidimą su savo seseria.	I play a game with my sister.	seseria	4	sesuo	Ncfsin-
Àš radaũ knỹgą sù raudónu viršeliù ir̃ nuspréndžiau ją̃ pasiskõlinti.	Aš radau knygą su raudonu viršeliu ir nusprendžiau ją pasiskolinti.	I found a book with a red cover and decided to borrow it.	viršeliu	5	viršelis	Ncmsin-
Jéi tìki, kàd visúomenė nesukū́rė niẽko vertìngo, taĩ gãlima teigtì, kàd tìki ir̃ mãsiniu sunaikìnimu.	Jei tiki, kad visuomenė nesukūrė nieko vertingo, tai galima teigti, kad tiki ir masiniu sunaikinimu.	If you believe society hasn't made anything worthwhile, then you might believe also in mass destruction.	sunaikinimu	17	sunaikinimas	Ncmsin-
Kažkàs grója fortepijonù.	Kažkas groja fortepijonu.	Somebody is playing the piano.	fortepijonu	2	fortepijonas	Ncmsin-
Mẽs galiáusiai susitáikėme sù sàvo likimù.	Mes galiausiai susitaikėme su savo likimu.	We eventually came to terms with our fate.	likimu	5	likimas	Ncmsin-
Niekadà nemaitìnkite sàvo katė̃s šunų̃ maistù.	Niekada nemaitinkite savo katės šunų maistu.	Never feed dog food to your cat.	maistu	5	maistas	Ncmsin-
Parỹžius vadìnamas žiburių̃ miestù. Daũg gražių̃ pastatų̃ nãktį ỹra apšviestì.	Paryžius vadinamas žiburių miestu. Daug gražių pastatų naktį yra apšviesti.	Paris is called the City of Lights. Many beautiful buildings are lit at night.	miestu	3	miestas	Ncmsin-
Šiõ metòdo veiksmingùmas bùvo patvìrtintas daũgelio žmonių̃ patirtimì.	Šio metodo veiksmingumas buvo patvirtintas daugelio žmonių patirtimi.	The effectiveness of this method was confirmed by many people's experiences.	patirtimi	7	patirtis	Ncfsin-
Ateityjè àš norė́čiau taptì televìzijos dìktoriumi.	Ateityje aš norėčiau tapti televizijos diktoriumi.	I want to become a TV announcer in the future.	diktoriumi	5	diktorius	Ncmsin-
Arbatà per̃ stìpri. Atskíesk ją̃ vandeniù.	Arbata per stipri. Atskiesk ją vandeniu.	The tea is too strong. Add some water.	vandeniu	6	vanduo	Ncmsin-
Àš norė́jau taptì filosofù.	Aš norėjau tapti filosofu.	I wanted to become a philosopher.	filosofu	3	filosofas	Ncmsin-
Gaĩsro ãtveju, išdaũžkite stìklą ir̃ nuspáuskite raudóną mygtùką.	Gaisro atveju, išdaužkite stiklą ir nuspauskite raudoną mygtuką.	In case of fire, break the glass and push the red button.	atveju	1	atvejis	Ncmsin-
Gãlime pasikliáuti jõ finánsine paramà.	Galime pasikliauti jo finansine parama.	We can count on him for financial help.	parama	4	parama	Ncfsin-
Jì įdárbino jį̃ programúotoju.	Ji įdarbino jį programuotoju.	She employed him as a programmer.	programuotoju	3	programuotojas	Ncmsin-
Jì tãpo įžymià daĩlininke.	Ji tapo įžymia dailininke.	She became a famous painter.	dailininke	3	dailininkė	Ncfsin-
Kadáise àš norė́jau taptì astrofìziku.	Kadaise aš norėjau tapti astrofiziku.	I once wanted to be an astrophysicist.	astrofiziku	4	astrofizikas	Ncmsin-
Malonù susipažìnti. Esù skruzdė́da.	Malonu susipažinti. Esu skruzdėda.	Pleased to meet you. I am an anteater.	skruzdėda	4	skruzdėda	Ncfsin-
